epoch,inclusion_loss,learning_rate
679,0.0012613082984531973,0.002
680,0.0012605018502986074,0.002
681,0.001259694498347905,0.002
682,0.001258886235411431,0.002
683,0.0012580770542395363,0.002
684,0.0012572669475227312,0.002
685,0.0012564559078938687,0.002
686,0.0012556439279258463,0.002
687,0.0012548310001309388,0.002
688,0.001254017116963145,0.002
689,0.0012532022708169291,0.002
690,0.0012523864540241914,0.002
691,0.0012515696588543965,0.002
692,0.0012507518775143809,0.002
693,0.0012499331021457057,0.002
694,0.0012491133248245519,0.002
695,0.001248292537562519,0.002
696,0.0012474707323045372,0.002
697,0.0012466479009277656,0.002
698,0.0012458240352427382,0.002
699,0.0012449991269926448,0.002
700,0.0012441731678519453,0.002
701,0.001243346149426817,0.002
702,0.001242518063254794,0.002
703,0.0012416889008027854,0.002
704,0.0012408586534666515,0.002
705,0.001240027312571204,0.002
706,0.0012391948693684933,0.002
707,0.0012383613150370068,0.002
708,0.0012375266406819945,0.002
709,0.0012366908373344756,0.002
710,0.001235853895950088,0.002
711,0.0012350158074090902,0.002
712,0.0012341765625155608,0.002
713,0.001233336151995929,0.002
714,0.0012324945664986798,0.002
715,0.00123165179654976,0.002
716,0.0012308078318205196,0.002
717,0.0012299626623299338,0.002
718,0.0012291162783185246,0.002
719,0.0012282686699541937,0.002
720,0.00122741982732992,0.002
721,0.0012265697404613763,0.002
722,0.0012257183992838397,0.002
723,0.0012248657936530208,0.002
724,0.001224011913064156,0.002
725,0.0012231567462465407,0.002
726,0.0012223002826321234,0.002
727,0.001221442511639261,0.002
728,0.0012205834226081114,0.002
729,0.0012197230048099634,0.002
730,0.0012188612474394267,0.002
731,0.0012179981396039864,0.002
732,0.001217133670327292,0.002
733,0.0012162678285490807,0.002
734,0.0012154006031169424,0.002
735,0.0012145319827908995,0.002
736,0.0012136619562483084,0.002
737,0.0012127905120732326,0.002
738,0.0012119176387548089,0.002
739,0.001211043324691694,0.002
740,0.0012101675581846797,0.002
741,0.001209290327435661,0.002
742,0.0012084116205535332,0.002
743,0.0012075314255494975,0.002
744,0.0012066497303332502,0.002
745,0.001205766522770906,0.002
746,0.0012048817908584372,0.002
747,0.001203995522265643,0.002
748,0.001203107704512706,0.002
749,0.0012022183250234226,0.002
750,0.0012013273711016497,0.002
751,0.0012004348299333955,0.002
752,0.0011995406886044827,0.002
753,0.0011986449340799805,0.002
754,0.0011977475532048464,0.002
755,0.0011968485327207687,0.002
756,0.0011959478592506259,0.002
757,0.0011950455192952579,0.002
758,0.0011941414992458978,0.002
759,0.001193235785373107,0.002
760,0.0011923283638208353,0.002
761,0.0011914192206160471,0.002
762,0.0011905083416629604,0.002
763,0.0011895957127359908,0.002
764,0.0011886813194873277,0.002
765,0.001187765147444915,0.002
766,0.0011868471820042463,0.002
767,0.001185927408433336,0.002
768,0.00118500581187294,0.002
769,0.0011840823773282723,0.002
770,0.0011831570896724064,0.002
771,0.0011822299336479688,0.002
772,0.0011813008938591815,0.002
